Language, Ratio
PHP-BitString, 0.0627139462049717
Scala-BitVector, 27.4531735847825
Python-BitString, 187.276339493665
clisp-simple_bit_vector, 6.52611791286891
perl-Bit_Vector, 15.6036546295149
Go-BitVector, 0.018158117843425
C-char[], 3.19751811901871
perl5.22-BitString, 19.7386498519757
lua-BitString, 0.238089621589204
Rust-BitVector, 10.3931981048339
perlsimple-BitString, 0.0685371220712482
Java-BitSet, 0.0176513872586783
CSharp-BitVector, 0.162069518270876
perl5.20-BitString, 0.0903913940646854
C++-BitString, 44.6619589600935
clojure-transientvector, 17.9335253341236
Octave-Vector, 2.94167663819444
perl5.22-BitString, 0.163066651084727
Rust-BitVector, 0.0615140365562762
lua-BitString, 0.13711957072418
perlsimple-BitString, 0.0921085209287875
Java-BitSet, 0.0192253586309009
CSharp-BitVector, 0.0059940795648767
perl5.20-BitString, 0.0896745277399837
C++-BitString, 0.276383986544759
clojure-transientvector, 0.0894954589204974
Octave-Vector, 7.15585778572803
clojure-persistentvector, 0.193293341064166
Python-BitString, 0.190067339562804
node-BitString, 0.159236022107716
Haskell-Mutable Vector, 0.714763191859239
perl-BitString, 3.55440837894332
Scala-BitString, 0.737078311747854
julia-BitString, 1
PHP-BitString, 0.0841578186040325
Scala-BitVector, 0.273399483114546
Python-BitString, 1.00806729297564
clisp-simple_bit_vector, 0.182202907542674
Go-BitVector, 0.015380541592698
C-char[], 0.0228090313714019
perl-Bit_Vector, 1.04020234056028
Scala-BitVector, 19.9770168872897
PHP-BitString, 0.0676702930900022
perl-Bit_Vector, 11.4997225051218
C-char[], 2.32454656816846
Go-BitVector, 0.0186229164280197
clisp-simple_bit_vector, 4.95950626556459
Python-BitString, 135.852777126693
Haskell-Mutable Vector, 0.0158437807920142
node-BitString, 0.0862007497618688
Python-BitString, 0.213064730381036
clojure-persistentvector, 21.6788142197056
Scala-BitString, 70.3680280653325
julia-BitString, 1
perl-BitString, 71.8171713828403
Octave-Vector, 4.16413695901507
clojure-transientvector, 12.7075278169155
